Problem  %Solved  Lost Partial
=======   =====   ====   ====
2009 A1   99.50   0.04   0.00
2008 A1   98.41   0.07   1.00
1996 B1   98.06   0.52   1.75
2007 B1   98.06   0.08   1.50
1995 A1   97.55   0.52   0.40
2012 A1   97.35   0.30   0.80
2012 B1   96.83   0.05   1.33
2010 A1   96.28   0.00   0.00
2016 A1   95.72   0.32   0.75
2013 A1   95.52   0.07   1.11
2012 A2   95.24   0.21   0.00
2009 B1   95.00   0.33   0.80
2001 A1   95.00   0.01   0.00
2015 A1   94.97   0.16   0.60
2005 B1   94.90   0.28   1.40
2002 A2   92.86   0.69   0.47
2014 A2   92.11   0.14   0.40
2010 B1   92.02   0.20   0.53
1998 A1   91.96   0.17   0.00
2014 A1   91.05   0.32   1.65
2014 B1   91.05   0.28   1.41
2010 A2   90.96   0.55   0.82
2013 B1   90.55   0.10   0.68
1997 B1   90.24   0.12   0.50
2003 A1   90.05   0.34   1.05
2013 A2   90.05   0.20   0.25
2010 B2   89.89   0.40   1.16
2016 B3   88.24   0.91   0.32
2016 A2   87.70   1.00   1.43
1995 A3   87.25   0.69   1.12
2001 A2   87.00   0.09   0.12
2008 B1   86.77   0.55   0.00
1998 B1   86.43   0.52   0.33
2002 B1   86.19   0.12   0.21
2004 A1   85.71   0.33   0.50
1999 A1   85.37   0.49   0.80
2008 A2   84.66   0.21   0.00
2006 B2   84.34   0.36   0.19
2004 A3   84.18   0.13   0.42
2001 B1   84.00   0.23   0.28
2005 B2   83.16   0.12   0.58
1998 A2   82.41   0.53   0.74
2002 B2   82.38   0.49   1.00
2006 A2   82.32   0.60   0.34
2011 B2   82.23   0.22   0.77
2004 B1   82.14   0.04   0.20
2016 B2   80.75   0.64   1.50
2010 B3   80.85   0.00   0.00
2016 B1   80.21   0.41   1.14
2005 A1   79.08   0.19   0.59
2002 A1   78.57   0.55   0.76
1999 B1   78.05   0.32   0.27
1996 A1   77.67   0.75   0.46
2000 A2   77.44   0.01   0.05
1995 B1   76.96   0.25   0.38
2003 B3   75.62   0.49   0.51
2000 B1   73.85   0.15   0.59
2008 A3   73.54   0.86   1.34
2004 B4   73.47   0.43   0.48
2007 A2   73.30   0.38   0.71
1997 A1   72.68   0.13   0.07
2005 A2   72.45   0.49   0.98
2006 A1   72.22   0.17   0.25
2003 B4   71.14   0.24   0.21
2004 B2   69.39   0.88   0.73
2009 B3   68.00   0.29   0.25
2003 B2   67.66   0.15   1.02
2001 A3   67.50   0.32   1.08
2013 B3   66.67   0.16   0.39
2001 B3   65.50   0.12   0.59
2006 A4   65.15   0.13   0.17
2009 A2   65.00   0.54   0.29
2010 A4   63.83   0.26   0.09
2011 B1   63.45   0.26   0.38
2005 B4   63.27   0.31   0.53
2000 B2   63.08   0.09   0.14
2014 B3   62.63   0.37   0.24
1997 A2   62.44   1.02   0.56
1998 A5   62.31   0.44   0.16
2008 A4   61.38   0.47   0.16
2015 A3   61.31   0.20   0.42
2007 A3   61.17   0.00   1.30
2015 A2   60.30   0.12   0.33
2006 B1   60.10   1.02   0.13
1997 A4   59.51   0.19   0.17
2011 A2   59.39   0.33   1.12
1998 A4   59.30   1.11   1.30
